file_name,sheet_name,year_guess,period_guess,original_rows,original_columns,non_empty_rows,non_empty_columns,numeric_like_columns,text_like_columns
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,INTRODUCTION,2023,,9,16,2,3,0,3
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,GOV.BUD,2023,,8,5,8,5,3,2
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Summary,2023,,36,17,4,3,0,3
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Revenues,2023,,32,5,28,5,2,3
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,2023,,51,7,45,7,3,4
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Surplus - (Deficit),2023,,15,3,12,3,1,2
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Gov.Reserve,2023,,12,3,10,3,1,2
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Debt,2023,,15,6,13,6,2,4
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Appendix,2023,,25,4,16,4,0,4
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,T.CONTENT,2023,,10,2,10,2,0,2
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,INTRODUCTION,2023,,9,16,2,3,0,3
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,GOV.BUD,2023,,8,5,8,5,3,2
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Summary,2023,,64,17,7,3,0,3
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Revenues,2023,,46,7,41,6,3,3
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Expenditures,2023,,67,7,59,7,4,3
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Financing,2023,,15,5,13,5,3,2
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Gov.Reserve,2023,,12,3,10,3,1,2
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Debt,2023,,15,6,13,6,2,4
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,Appendix,2023,,25,4,16,4,0,4
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,T.CONTENT,2023,,10,2,10,2,0,2
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,INTRODUCTION,2023,,9,16,2,3,0,3
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,GOV.BUD,2023,,8,5,8,5,3,2
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,Summary,2023,,101,32,12,7,0,7
