panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related
2022__q1__debt_public_debt_unlabeled_row,2022,Q1,1,2022__q1,Debt,public_debt,debt_public_debt_unlabeled_row,unspecified,1732.5,1732.5,3465.0,1443.0,2022.0,409.414826307011,2,1,1,2,1,1732.5,,,,,,,,,,1732.5,,1732.5,,-1.2421180068162847,1.2421180068162847,0.0,-0.5789652133283629,1,0,0,1,0
2022__end_year_annual__debt_public_debt_unlabeled_row,2022,End-Year/Annual,5,2022__end_year_annual,Debt,public_debt,debt_public_debt_unlabeled_row,unspecified,1732.5,1732.5,3465.0,1443.0,2022.0,409.414826307011,2,1,1,2,1,1732.5,1732.5,,,0.0,,,0.0,,,1732.5,0.0,1732.5,0.0,-1.2421180068162847,1.2421180068162847,0.0,-0.6253252086331514,1,0,0,1,0
2023__q1__debt_public_debt_unlabeled_row,2023,Q1,1,2023__q1,Debt,public_debt,debt_public_debt_unlabeled_row,unspecified,1733.5,1733.5,3467.0,1444.0,2023.0,409.414826307011,2,1,1,2,1,1733.5,1732.5,1732.5,,1.0,1.0,,0.0005772005772005772,0.0005772005772005772,,1733.0,0.7071067811865476,1732.8333333333333,0.5773502691896586,0.2070196678026592,0.2070196678026592,0.5,-0.5787447015451564,1,0,0,1,0
2023__q3__debt_public_debt_unlabeled_row,2023,Q3,3,2023__q3,Debt,public_debt,debt_public_debt_unlabeled_row,unspecified,1733.5,1733.5,3467.0,1444.0,2023.0,409.414826307011,2,1,1,2,1,1733.5,1733.5,1732.5,,0.0,1.0,,0.0,0.0005772005772005772,,1733.5,0.0,1733.0,0.5773502691896586,0.2070196678026592,0.2070196678026592,0.5,-0.6793708384590907,1,0,0,1,0
2023__q4__debt_public_debt_unlabeled_row,2023,Q4,4,2023__q4,Debt,public_debt,debt_public_debt_unlabeled_row,unspecified,1733.5,1733.5,3467.0,1444.0,2023.0,409.414826307011,2,1,1,2,1,1733.5,1733.5,1733.5,1732.5,0.0,0.0,1.0,0.0,0.0,0.0005772005772005772,1733.5,0.0,1733.25,0.5000000000000189,0.2070196678026592,0.2070196678026592,0.5,-0.6775732756478824,1,0,0,1,0
2023__end_year_annual__debt_public_debt_unlabeled_row,2023,End-Year/Annual,5,2023__end_year_annual,Debt,public_debt,debt_public_debt_unlabeled_row,unspecified,1733.5,1733.5,3467.0,1444.0,2023.0,409.414826307011,2,1,1,2,1,1733.5,1733.5,1733.5,1732.5,0.0,0.0,1.0,0.0,0.0,0.0005772005772005772,1733.5,0.0,1733.5,0.0,0.2070196678026592,0.2070196678026592,0.5,-0.6578300075447328,1,0,0,1,0
2024__q3__debt_public_debt_unlabeled_row,2024,Q3,3,2024__q3,Debt,public_debt,debt_public_debt_unlabeled_row,unspecified,1734.5,1734.5,3469.0,1445.0,2024.0,409.414826307011,2,1,1,2,1,1734.5,1733.5,1733.5,1733.5,1.0,1.0,1.0,0.0005768676088837611,0.0005768676088837611,0.0005768676088837611,1734.0,0.7071067811865476,1733.75,0.5000000000000189,1.6561573424216032,1.6561573424216032,1.0,-0.6786392599066666,1,0,0,1,0
2024__q1__expenditure_total_expenditure_102819_40924245001_education,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_102819_40924245001_education,unspecified,0.522390058761768,0.522390058761768,0.522390058761768,0.522390058761768,0.522390058761768,,1,1,1,1,1,0.522390058761768,,,,,,,,,,0.522390058761768,,0.522390058761768,,-0.6745,0.6745,0.0,-0.6745003129141554,1,0,1,0,0
2024__q2__expenditure_total_expenditure_102819_40924245001_education,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_102819_40924245001_education,unspecified,98986.98767363992,101898.62887491003,296960.96302091976,-0.0089553166500768,195062.3431013264,97563.76652390548,3,1,1,3,1,98986.98767363992,0.522390058761768,,,98986.46528358116,,,189487.65127386004,,,49493.75503184934,69994.00084770701,49493.75503184934,69994.00084770701,0.6745,0.6745,1.0,1.0763265736003178,1,0,1,0,0
2024__q1__expenditure_total_expenditure_103232_80316220001_general_items,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_103232_80316220001_general_items,unspecified,0.5654959383649134,0.5654959383649134,0.5654959383649134,0.5654959383649134,0.5654959383649134,,1,1,1,1,1,0.5654959383649134,,,,,,,,,,0.5654959383649134,,0.5654959383649134,,-0.6745,0.6745,0.0,-0.6744980808022703,1,0,1,0,0
2024__q2__expenditure_total_expenditure_103232_80316220001_general_items,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_103232_80316220001_general_items,unspecified,112479.50611908805,121891.0919504,337438.51835726417,0.1807399219692209,215547.2456669422,108081.30162316877,3,1,1,3,1,112479.50611908805,0.5654959383649134,,,112478.94062314968,,,198903.18036301658,,,56240.03580751321,79534.62165530818,56240.03580751321,79534.62165530818,0.6745,0.6745,1.0,1.3199553973014384,1,0,1,0,0
2023__q2__expenditure_total_expenditure_105119_87979830823_military,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_105119_87979830823_military,unspecified,92624.42349975382,55624.427190137074,370497.69399901526,0.0583005372086897,259248.7813182039,122840.01441408614,4,1,1,4,1,92624.42349975382,,,,,,,,,,92624.42349975382,,92624.42349975382,,0.0,0.0,0.0,1.8056059463708893,1,0,1,0,0
2024__q1__expenditure_total_expenditure_111248_4252618625_military,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_111248_4252618625_military,unspecified,0.3874965061587488,0.3874965061587488,0.3874965061587488,0.3874965061587488,0.3874965061587488,,1,1,1,1,1,0.3874965061587488,,,,,,,,,,0.3874965061587488,,0.3874965061587488,,-0.6744999999999999,0.6744999999999999,0.0,-0.6745072979821963,1,0,1,0,0
2024__q2__expenditure_total_expenditure_111248_4252618625_military,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_111248_4252618625_military,unspecified,124434.73389904719,104255.4684696899,373304.2016971416,-0.0628589283462862,269048.79608638,135654.79788748518,3,1,1,3,1,124434.73389904719,0.3874965061587488,,,124434.34640254104,,,321123.7893111816,,,62217.56069777667,87988.37015375264,62217.56069777667,87988.37015375264,0.6745,0.6745,1.0,1.5358259994345056,1,0,1,0,0
2024__q1__expenditure_total_expenditure_127945_24161820501_health_social_development,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_127945_24161820501_health_social_development,unspecified,0.6485045887368003,0.6485045887368003,0.6485045887368003,0.6485045887368003,0.6485045887368003,,1,1,1,1,1,0.6485045887368003,,,,,,,,,,0.6485045887368003,,0.6485045887368003,,-0.6745,0.6745,0.0,-0.6744937824421214,1,0,1,0,0
2024__q2__expenditure_total_expenditure_127945_24161820501_health_social_development,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_127945_24161820501_health_social_development,unspecified,117452.17846514664,138613.36969516994,352356.53539543995,0.0833804207334194,213743.0823198493,108431.38111086823,3,1,1,3,1,117452.17846514664,0.6485045887368003,,,117451.5299605579,,,181111.3321331121,,,58726.41348486769,83050.77329584544,58726.41348486769,83050.77329584544,0.6745,0.6745,1.0,1.4097448846547098,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_14252_23284817001_municipal_services,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_14252_23284817001_municipal_services,unspecified,18646.062183327755,12497.206955917982,74584.24873331102,0.5040128559509792,49589.33080861911,23756.27807240707,4,1,1,4,1,18646.062183327755,,,,,,,,,,18646.062183327755,,18646.062183327755,,0.0,0.0,0.0,-0.14525542991144286,1,0,1,0,0
2022__q1__expenditure_total_expenditure_1443_1444_2022,2022,Q1,1,2022__q1,Expenditure,total_expenditure,expenditure_total_expenditure_1443_1444_2022,unspecified,3.0,3.0,6.0,3.0,3.0,0.0,2,1,1,1,2,3.0,,,,,,,,,,3.0,,3.0,,-0.6745,0.6745,0.0,-0.6743345717979712,1,0,1,0,0
2022__q2__expenditure_total_expenditure_1443_1444_2022,2022,Q2,2,2022__q2,Expenditure,total_expenditure,expenditure_total_expenditure_1443_1444_2022,unspecified,4.0,4.0,8.0,4.0,4.0,0.0,2,1,1,1,2,4.0,3.0,,,1.0,,,0.3333333333333333,,,3.5,0.7071067811865476,3.5,0.7071067811865476,0.6745,0.6745,1.0,-0.6744667258645355,1,0,1,0,0
2023__q1__expenditure_total_expenditure_1444_1445_2023,2023,Q1,1,2023__q1,Expenditure,total_expenditure,expenditure_total_expenditure_1444_1445_2023,unspecified,3.0,3.0,6.0,3.0,3.0,0.0,2,1,1,1,2,3.0,,,,,,,,,,3.0,,3.0,,-0.6745,0.6745,0.0,-0.6743342856098272,1,0,1,0,0
2023__q2__expenditure_total_expenditure_1444_1445_2023,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_1444_1445_2023,unspecified,4.0,4.0,8.0,4.0,4.0,0.0,2,1,1,1,2,4.0,3.0,,,1.0,,,0.3333333333333333,,,3.5,0.7071067811865476,3.5,0.7071067811865476,0.6745,0.6745,1.0,-0.6880694955305583,1,0,1,0,0
2024__q1__expenditure_total_expenditure_1445_1446_2024,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_1445_1446_2024,unspecified,3.0,3.0,6.0,3.0,3.0,0.0,2,1,1,1,2,3.0,,,,,,,,,,3.0,,3.0,,-0.6745,0.6745,0.0,-0.6743720171306692,1,0,1,0,0
2024__q2__expenditure_total_expenditure_1445_1446_2024,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_1445_1446_2024,unspecified,4.0,4.0,8.0,4.0,4.0,0.0,2,1,1,1,2,4.0,3.0,,,1.0,,,0.3333333333333333,,,3.5,0.7071067811865476,3.5,0.7071067811865476,0.6745,0.6745,1.0,-0.710968285461886,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_14861_801751082518_public_administration,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_14861_801751082518_public_administration,unspecified,12483.528818971208,8837.02045712471,49934.11527588483,0.1891891281350004,32259.885172507275,15595.924486525093,4,1,1,4,1,12483.528818971208,,,,,,,,,,12483.528818971208,,12483.528818971208,,0.0,0.0,0.0,-0.3201710388485141,1,0,1,0,0
2023__q2__expenditure_total_expenditure_17673_493066885043_public_administration,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_17673_493066885043_public_administration,unspecified,14657.54375503322,10841.697456055505,58630.17502013288,0.2268547004532028,36946.55325332142,18035.3135688752,4,1,1,4,1,14657.54375503322,,,,,,,,,,14657.54375503322,,14657.54375503322,,0.0,0.0,0.0,-0.29354331201713707,1,0,1,0,0
2024__q1__expenditure_total_expenditure_18552_19621866_infrastructure_and_transportation,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_18552_19621866_infrastructure_and_transportation,unspecified,0.5723459881960046,0.5723459881960046,0.5723459881960046,0.5723459881960046,0.5723459881960046,,1,1,1,1,1,0.5723459881960046,,,,,,,,,,0.5723459881960046,,0.5723459881960046,,-0.6745,0.6745,0.0,-0.674497726092477,1,0,1,0,0
2024__q2__expenditure_total_expenditure_18552_19621866_infrastructure_and_transportation,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_18552_19621866_infrastructure_and_transportation,unspecified,19856.671435580185,21683.880231790004,59570.01430674056,0.1688039505522329,37885.965271,19008.877201833464,3,1,1,3,1,19856.671435580185,0.5723459881960046,,,19856.09908959199,,,34692.475354246926,,,9928.62189078419,14040.382314162529,9928.62189078419,14040.382314162529,0.6745,0.6745,1.0,-0.3524968104195857,1,0,1,0,0
2023__q2__expenditure_total_expenditure_19021_261638440003_infrastructure_and_transportation,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_19021_261638440003_infrastructure_and_transportation,unspecified,13144.823236301661,9276.370722656293,52579.292945206646,-0.0246600582388326,34026.576159952296,16440.259105299127,4,1,1,4,1,13144.823236301661,,,,,,,,,,13144.823236301661,,13144.823236301661,,0.0,0.0,0.0,-0.33427119756854934,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_2021_sector,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_2021_sector,unspecified,2022.0,2022.0,2022.0,2022.0,2022.0,,1,1,1,1,1,2022.0,,,,,,,,,,2022.0,,2022.0,,0.0,0.0,0.0,-0.6171081222835396,1,0,1,0,0
2023__q2__expenditure_total_expenditure_2022_sector,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_2022_sector,unspecified,2023.0,2023.0,4046.0,2023.0,2023.0,0.0,2,1,1,2,1,2023.0,,,,,,,,,,2023.0,,2023.0,,0.0,0.0,0.0,-0.6337107426015954,1,0,1,0,0
2024__q2__expenditure_total_expenditure_2023_sector,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_2023_sector,unspecified,2024.0,2024.0,4048.0,2024.0,2024.0,0.0,2,1,1,2,1,2024.0,,,,,,,,,,2024.0,,2024.0,,0.0,0.0,0.0,-0.6744939811379005,1,0,1,0,0
2024__q1__expenditure_total_expenditure_21682_808042535005_public_administration,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_21682_808042535005_public_administration,unspecified,0.6585736664597929,0.6585736664597929,0.6585736664597929,0.6585736664597929,0.6585736664597929,,1,1,1,1,1,0.6585736664597929,,,,,,,,,,0.6585736664597929,,0.6585736664597929,,-0.6745,0.6745,0.0,-0.6744932610443849,1,0,1,0,0
2024__q2__expenditure_total_expenditure_21682_808042535005_public_administration,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_21682_808042535005_public_administration,unspecified,23581.06791069281,28090.0495368,70743.20373207843,0.2954986956346224,42652.8586965828,21680.831933204703,3,1,1,3,1,23581.06791069281,0.6585736664597929,,,23580.40933702635,,,35805.27211752093,,,11790.863242179636,16673.867345365914,11790.863242179636,16673.867345365914,0.6745,0.6745,1.0,-0.28524692405501295,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_22115_44479228_infrastructure_and_transportation,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_22115_44479228_infrastructure_and_transportation,unspecified,15264.820949111736,9510.857059681543,61059.28379644694,-0.1399105097320994,42037.70958759359,19974.303387764652,4,1,1,4,1,15264.820949111736,,,,,,,,,,15264.820949111736,,15264.820949111736,,0.0,0.0,0.0,-0.24122762746039403,1,0,1,0,0
2023__q2__expenditure_total_expenditure_24993_66024555_municipal_services,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_24993_66024555_municipal_services,unspecified,22440.901742943162,13322.709055378473,89763.60697177265,0.0660701835604096,63118.12279083214,29885.765567652114,4,1,1,4,1,22440.901742943162,,,,,,,,,,22440.901742943162,,22440.901742943162,,0.0,0.0,0.0,-0.08398727743443975,1,0,1,0,0
2024__q1__expenditure_total_expenditure_26644_99596582_municipal_services,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_26644_99596582_municipal_services,unspecified,0.7098112359779973,0.7098112359779973,0.7098112359779973,0.7098112359779973,0.7098112359779973,,1,1,1,1,1,0.7098112359779973,,,,,,,,,,0.7098112359779973,,0.7098112359779973,,-0.6745,0.6745,0.0,-0.6744906078567238,1,0,1,0,0
2024__q2__expenditure_total_expenditure_26644_99596582_municipal_services,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_26644_99596582_municipal_services,unspecified,46289.559709776746,57649.47659208,138868.67912933024,1.16361363559718,81218.03892361463,41783.14244355969,3,1,1,3,1,46289.559709776746,0.7098112359779973,,,46288.84989854077,,,65212.901053563524,,,23145.13476050636,32731.15965658441,23145.13476050636,32731.15965658441,0.6745000000000001,0.6745000000000001,1.0,0.12479091783534217,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_27141_530719700004_economic_resources,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_27141_530719700004_economic_resources,unspecified,20828.348914289367,14860.991178729299,83313.39565715747,0.0950534835460641,53591.31824621533,25949.387828335122,4,1,1,4,1,20828.348914289367,,,,,,,,,,20828.348914289367,,20828.348914289367,,0.0,0.0,0.0,-0.08331401883053142,1,0,1,0,0
2023__q2__expenditure_total_expenditure_29721_427763380005_economic_resources,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_29721_427763380005_economic_resources,unspecified,27277.360435985433,18669.234584736954,109109.44174394173,0.2562636367070618,71770.7163108311,34491.257737760905,4,1,1,4,1,27277.360435985433,,,,,,,,,,27277.360435985433,,27277.360435985433,,0.0,0.0,0.0,0.04622761268255846,1,0,1,0,0
2024__q1__expenditure_total_expenditure_37337_94893015_economic_resources,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_37337_94893015_economic_resources,unspecified,0.4866399589830015,0.4866399589830015,0.4866399589830015,0.4866399589830015,0.4866399589830015,,1,1,1,1,1,0.4866399589830015,,,,,,,,,,0.4866399589830015,,0.4866399589830015,,-0.6745,0.6745,0.0,-0.674502164128499,1,0,1,0,0
2024__q2__expenditure_total_expenditure_37337_94893015_economic_resources,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_37337_94893015_economic_resources,unspecified,41457.762732464405,40712.59319931,124373.28819739322,0.0903810832103582,83660.604617,41835.23477619512,3,1,1,3,1,41457.762732464405,0.4866399589830015,,,41457.276092505424,,,85190.85892400699,,,20729.124686211693,29314.72105453352,20729.124686211693,29314.72105453352,0.6745000000000001,0.6745000000000001,1.0,0.03754515873524129,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_45689_32698948_security_and_regional_administration,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_45689_32698948_security_and_regional_administration,unspecified,37720.42891997278,24800.732327321817,150881.71567989112,0.0856140412355079,101280.16541120624,48396.3000886037,4,1,1,4,1,37720.42891997278,,,,,,,,,,37720.42891997278,,37720.42891997278,,0.0,0.0,0.0,0.39614601581973935,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_464923_3188843924,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_464923_3188843924,unspecified,366981.43615067564,256462.82067801533,1467925.7446027026,0.1032466719296227,955000.0,460585.0137471204,4,1,1,4,1,366981.43615067564,,,,,,,,,,366981.43615067564,,366981.43615067564,,0.0,0.0,0.0,9.741797580499796,1,0,1,0,0
2023__q2__expenditure_total_expenditure_49600_97491437995_security_and_regional_administration,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_49600_97491437995_security_and_regional_administration,unspecified,39970.74972447557,27241.28020808294,159882.9988979023,0.0984067068126308,105400.3400750296,50619.10515187992,4,1,1,4,1,39970.74972447557,,,,,,,,,,39970.74972447557,,39970.74972447557,,0.0,0.0,0.0,0.38797937700359814,1,0,1,0,0
2023__q2__expenditure_total_expenditure_512925_1042616806,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_512925_1042616806,unspecified,429486.6478870663,301973.2070469994,1717946.5915482652,0.1774543046038268,1113999.9999999618,537869.7157600428,4,1,1,4,1,429486.6478870663,,,,,,,,,,429486.6478870663,,429486.6478870663,,0.0,0.0,0.0,10.87515048652481,1,0,1,0,0
2024__q1__expenditure_total_expenditure_54482_0435104_security_and_regional_administration,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_54482_0435104_security_and_regional_administration,unspecified,0.5344758686164305,0.5344758686164305,0.5344758686164305,0.5344758686164305,0.5344758686164305,,1,1,1,1,1,0.5344758686164305,,,,,,,,,,0.5344758686164305,,0.5344758686164305,,-0.6745,0.6745,0.0,-0.6744996870858445,1,0,1,0,0
2024__q2__expenditure_total_expenditure_54482_0435104_security_and_regional_administration,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_54482_0435104_security_and_regional_administration,unspecified,57379.74605177634,59958.072327620095,172139.23815532902,0.1005107089306367,112181.065317,56134.909290085336,3,1,1,3,1,57379.74605177634,0.5344758686164305,,,57379.21157590772,,,107356.03784029064,,,28690.14026382248,40573.229604462,28690.14026382248,40573.229604462,0.6744999999999999,0.6744999999999999,1.0,0.32504182459167935,1,0,1,0,0
2024__q1__expenditure_total_expenditure_603945_8719522825,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_603945_8719522825,unspecified,0.5393706082157749,0.5393706082157749,0.5393706082157749,0.5393706082157749,0.5393706082157749,,1,1,1,1,1,0.5393706082157749,,,,,,,,,,0.5393706082157749,,0.5393706082157749,,-0.6745,0.6745,0.0,-0.6744994336260722,1,0,1,0,0
2024__q2__expenditure_total_expenditure_603945_8719522825,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_603945_8719522825,unspecified,641917.5827059017,674752.63087777,1925752.748117705,0.1172402399185235,1250999.9999996952,626145.9749590182,3,1,1,3,1,641917.5827059017,0.5393706082157749,,,641917.0433352935,,,1190122.4011051322,,,320959.06103825493,453903.89430160495,320959.06103825493,453903.89430160495,0.6745000000000001,0.6745000000000001,1.0,10.879799717169261,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_64009_11379564_general_items,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_64009_11379564_general_items,unspecified,62730.65428118606,34459.72272073082,250922.61712474425,0.0767070919267194,182003.09497619068,85896.1085644789,4,1,1,4,1,62730.65428118606,,,,,,,,,,62730.65428118606,,62730.65428118606,,0.0,0.0,0.0,1.1060291986050355,1,0,1,0,0
2023__q2__expenditure_total_expenditure_68919_06677171_general_items,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_68919_06677171_general_items,unspecified,67092.334670529,51616.71415125561,268369.338682116,0.4978845187232739,165135.4124950861,81488.63033805674,4,1,1,4,1,67092.334670529,,,,,,,,,,67092.334670529,,67092.334670529,,0.0,0.0,0.0,1.1181901422955232,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_91109_64849529987_education,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_91109_64849529987_education,unspecified,70861.03943695269,49170.7182024604,283444.15774781076,0.0793687249523096,185102.64197416505,89160.4808701794,4,1,1,4,1,70861.03943695269,,,,,,,,,,70861.03943695269,,70861.03943695269,,0.0,0.0,0.0,1.3367997577778756,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_91839_55159809522_health_social_development,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_91839_55159809522_health_social_development,unspecified,59442.8252306391,49767.57748406984,237771.3009225564,0.0837861597079794,138236.06216825702,70433.2183388396,4,1,1,4,1,59442.8252306391,,,,,,,,,,59442.8252306391,,59442.8252306391,,0.0,0.0,0.0,1.0127083861314365,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_93904_6678946448_military,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_93904_6678946448_military,unspecified,69005.09453837932,52560.2474475013,276020.37815351726,0.119431889331063,170899.76382662533,84083.50237749184,4,1,1,4,1,69005.09453837932,,,,,,,,,,69005.09453837932,,69005.09453837932,,0.0,0.0,0.0,1.2841211412262379,1,0,1,0,0
2023__q2__expenditure_total_expenditure_98340_90512722493_education,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_98340_90512722493_education,unspecified,72957.63860048605,51409.97661505333,291830.5544019442,0.0455406029610077,189010.55563123457,91297.23058351022,4,1,1,4,1,72957.63860048605,,,,,,,,,,72957.63860048605,,72957.63860048605,,0.0,0.0,0.0,1.2761052523409964,1,0,1,0,0
2023__q2__expenditure_total_expenditure_99534_43493580243_health_social_development,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_99534_43493580243_health_social_development,unspecified,79322.2861883663,63972.95867551645,317289.1447534652,0.2854369615975309,189342.94196547067,94960.7536140101,4,1,1,4,1,79322.2861883663,,,,,,,,,,79322.2861883663,,79322.2861883663,,0.0,0.0,0.0,1.4474644924150437,1,0,1,0,0
2022__q1__expenditure_total_expenditure_compensation_of_employees,2022,Q1,1,2022__q1,Expenditure,total_expenditure,expenditure_total_expenditure_compensation_of_employees,unspecified,125172.7,125172.7,125172.7,125172.7,125172.7,,1,1,1,1,1,125172.7,,,,,,,,,,125172.7,,125172.7,,-0.6976948463974968,0.6976948463974968,0.0022161674158015145,6.227864901363824,1,0,1,0,0
2022__q2__expenditure_total_expenditure_compensation_of_employees,2022,Q2,2,2022__q2,Expenditure,total_expenditure,expenditure_total_expenditure_compensation_of_employees,unspecified,125915.64,125915.64,125915.64,125915.64,125915.64,,1,1,1,1,1,125915.64,125172.7,,,742.9400000000023,,,0.00593531976221654,,,125544.17,525.3379120147353,125544.17,525.3379120147353,-0.6513051536025032,0.6513051536025032,0.0040147870852889,3.515134240047358,1,0,1,0,0
2022__q3__expenditure_total_expenditure_compensation_of_employees,2022,Q3,3,2022__q3,Expenditure,total_expenditure,expenditure_total_expenditure_compensation_of_employees,unspecified,126838.89001903994,126838.89001903994,126838.89001903994,126838.89001903994,126838.89001903994,,1,1,1,1,1,126838.89001903994,125915.64,125172.7,,923.2500190399442,1666.1900190399465,,0.007332290246389918,0.013311129495808163,,126377.26500951996,652.8363491937588,125975.74333967998,834.7194759124785,-0.5936567772110924,0.5936567772110924,0.006249928071236407,1.9553403877829307,1,0,1,0,0
2022__q4__expenditure_total_expenditure_compensation_of_employees,2022,Q4,4,2022__q4,Expenditure,total_expenditure,expenditure_total_expenditure_compensation_of_employees,unspecified,324260.5,324260.5,648521.0,135297.0,513224.0,267234.74449348834,2,1,1,2,1,324260.5,126838.89001903994,125915.64,,197421.60998096006,198344.86,,1.5564753834673644,1.575220202986698,,225549.69500951996,139598.15917030265,175546.93250475999,99144.72091525042,11.73348651580008,11.73348651580008,0.4841975293494294,2.759973583961098,1,0,1,0,0
2022__end_year_annual__expenditure_total_expenditure_compensation_of_employees,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_compensation_of_employees,unspecified,124257.28722662316,124367.31420513001,745543.723359739,0.02,251088.34,111107.18555924688,6,1,1,3,1,124257.28722662316,324260.5,126838.89001903994,125172.7,-200003.21277337684,-2581.6027924167865,-915.41277337684,-0.6167979534151611,-0.02035340101154511,-0.007313198272281736,224258.89361331158,141423.62801115066,175318.0793114158,99300.69145993856,-0.7548538596927351,0.7548538596927351,0.0,2.8523837951975515,1,0,1,0,0
