panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related
2024__q4__debt_domestic_debt_beginning_of_period_balance,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,1050282.38170035,1050282.38170035,1050282.38170035,1050282.38170035,1050282.38170035,,1,1,1,1,1,990084.0,1050282.0,990084.0,990084.0,0.38170034997165203,60198.38170034997,60198.38170034997,3.634265368459633e-07,0.06080128726486841,0.06080128726486841,1050282.190850175,0.26990290584623355,1020183.0954250875,34755.44169242633,1.5594657009980435,1.5594657009980435,1.0,8.24923982154219,1,0,0,1,0
2022__q1__debt_domestic_debt_end_of_period_balance,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,579379.0,579379.0,579379.0,579379.0,579379.0,,1,1,1,1,1,579379.0,,,,,,,,,,579379.0,,579379.0,,-1.7197731658961404,1.7197731658961404,0.0,31.274042087749734,1,0,0,1,0
2022__q3__debt_domestic_debt_end_of_period_balance,2022,Q3,3,2022__q3,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,610051.0,610051.0,610051.0,610051.0,610051.0,,1,1,1,1,1,610051.0,579379.0,,,30672.0,,,0.05293944033180353,,,594715.0,21688.379192553784,594715.0,21688.379192553784,-0.5904281454097856,0.5904281454097856,0.1930596361417069,12.11584554715079,1,0,0,1,0
2022__q4__debt_domestic_debt_end_of_period_balance,2022,Q4,4,2022__q4,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,614956.0,614956.0,614956.0,614956.0,614956.0,,1,1,1,1,1,614956.0,610051.0,579379.0,,4905.0,35577.0,,0.008040311383802339,0.0614054013003578,,612503.5,3468.3587617200155,601462.0,19281.05087903665,-0.4098257286946848,0.4098257286946848,0.2239333162171853,5.894739157831394,1,0,0,1,0
2022__end_year_annual__debt_domestic_debt_end_of_period_balance,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,604758.0,604758.0,604758.0,604758.0,604758.0,,1,1,1,1,1,604758.0,614956.0,610051.0,,-10198.0,-5293.0,,-0.016583300268637104,-0.008676323782765703,,609857.0,7211.074954540411,602286.0,15828.935087364533,-0.785316747177987,0.785316747177987,0.15974375670449856,16.49078050645457,1,0,0,1,0
2023__q1__debt_domestic_debt_end_of_period_balance,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,618504.26855091,618504.26855091,618504.26855091,618504.26855091,618504.26855091,,1,1,1,1,1,618504.26855091,604758.0,614956.0,579379.0,13746.268550910056,3548.2685509100556,39125.268550910056,0.02273019712167521,0.005769955169004051,0.06752966288199962,611631.134275455,9720.079708359877,612067.3171377275,5979.701330173369,-0.2791782515390182,0.2791782515390182,0.2462672832024408,33.49051922739379,1,0,0,1,0
2023__q2__debt_domestic_debt_end_of_period_balance,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,623536.0,623536.0,623536.0,623536.0,623536.0,,1,1,1,1,1,623536.0,618504.26855091,604758.0,610051.0,5031.731449089944,18778.0,13485.0,0.008135322106796058,0.031050436703607062,0.02210470927840459,621020.134275455,3557.9714287611127,615438.5671377275,7943.012223326035,-0.09390957468539542,0.09390957468539542,0.27793865261832784,16.09965805835853,1,0,0,1,0
2023__q3__debt_domestic_debt_end_of_period_balance,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,628637.0,628637.0,1257274.0,628637.0,628637.0,0.0,2,2,1,1,1,628637.0,623536.0,618504.26855091,614956.0,5101.0,10132.731449089944,13681.0,0.00818076261835724,0.01638263786413287,0.022247120119162998,626086.5,3606.951690832579,618858.8171377275,10270.469776130338,0.09390957468539542,0.09390957468539542,0.310046021031175,9.877399007482516,1,0,0,1,0
2023__q4__debt_domestic_debt_end_of_period_balance,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,644405.31632691,644405.31632691,644405.31632691,644405.31632691,644405.31632691,,1,1,1,1,1,644405.31632691,628637.0,623536.0,604758.0,15768.316326910048,20869.316326910048,39647.31632691005,0.025083341144269345,0.03346930462220313,0.06555897785049565,636521.1581634551,11149.883402652607,628770.646219455,11213.99129297831,0.6745,0.6745,0.40929697997224795,6.144905628317201,1,0,0,1,0
2023__end_year_annual__debt_domestic_debt_end_of_period_balance,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,644405.31632691,644405.31632691,644405.31632691,644405.31632691,644405.31632691,,1,1,1,1,1,644405.31632691,644405.31632691,628637.0,618504.26855091,0.0,15768.316326910048,25901.047775999992,0.0,0.025083341144269345,0.04187691030279128,644405.31632691,0.0,635245.9081634551,10779.442349816874,0.6745,0.6745,0.40929697997224795,5.523226402164954,1,0,0,1,0
