analysis_set,model,feature_count,n_train,n_test,train_positive,test_positive,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision
leakage_safe,conventional_statistical_baseline,15,648,155,156,45,0.8064516129032258,0.7717171717171717,0.6595744680851063,0.6888888888888889,0.6739130434782609,0.5366472075232211,0.8551515151515151,0.7451200131862112
leakage_safe,standalone_ai_model,26,648,155,156,45,0.9032258064516129,0.8858585858585859,0.8260869565217391,0.8444444444444444,0.8351648351648352,0.7667761546320052,0.9513131313131313,0.8766973641490948
leakage_safe,governance_centered_ai_model,26,648,155,156,45,0.9032258064516129,0.8858585858585859,0.8260869565217391,0.8444444444444444,0.8351648351648352,0.7667761546320052,0.9513131313131313,0.8766973641490948
ultra_conservative,conventional_statistical_baseline,14,648,155,156,45,0.8064516129032258,0.7651515151515151,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5303030303030303,0.8428282828282828,0.7349968713674321
ultra_conservative,standalone_ai_model,14,648,155,156,45,0.8516129032258064,0.8297979797979798,0.7291666666666666,0.7777777777777778,0.7526881720430108,0.6475422032579478,0.9139393939393939,0.8437052528152316
ultra_conservative,governance_centered_ai_model,14,648,155,156,45,0.8516129032258064,0.8297979797979798,0.7291666666666666,0.7777777777777778,0.7526881720430108,0.6475422032579478,0.9139393939393939,0.8437052528152316
