observation_id,year,period,period_order,fiscal_risk_score_0_100,fiscal_anomaly_label,multi_component_anomaly_label,risk_level,traceability_index_0_1,interpretability_score_0_1,interpretability_score_1_5,audit_readiness_score_0_1,governance_alignment_index_0_1,decision_usability_score_0_1,decision_usability_score_1_5,risk_signal_completeness_0_1,temporal_comparability_0_1
2021__end_year_annual,2021,End-Year/Annual,5,0.0,0,1,low,0.0,0.8515151515151514,4.406060606060606,1.0,0.548030303030303,0.5692121212121212,3.2768484848484847,1.0,0.0
2022__q1,2022,Q1,1,5.699457421301488,0,1,moderate,0.6176470588235294,0.9108174770965468,4.643269908386188,1.0,0.8158449405132031,0.9263379762052812,4.705351904821125,1.0,1.0
2022__q2,2022,Q2,2,5.238687338261311,0,1,moderate,0.3838235294117647,0.9154326772883473,4.661730709153389,1.0,0.7239308488156274,0.8895723395262509,4.558289358105004,1.0,1.0
2022__q3,2022,Q3,3,2.7450235818473265,0,1,low,0.43529411764705883,0.9249999999999999,4.699999999999999,1.0,0.7478676470588235,0.8991470588235293,4.596588235294117,1.0,1.0
2022__q4,2022,Q4,4,16.001060090526163,0,1,moderate,0.1926470588235294,0.9242424242424242,4.696969696969697,1.0,0.6505436720142602,0.860217468805704,4.440869875222816,1.0,1.0
2022__end_year_annual,2022,End-Year/Annual,5,22.345524244893785,1,1,high,0.7029411764705882,0.9542900919305413,4.817160367722165,1.0,0.8651780027639246,0.9460712011055699,4.784284804422279,1.0,1.0
2023__q1,2023,Q1,1,3.018048886976164,0,1,low,0.65,0.9042178542178542,4.616871416871417,1.0,0.8264762489762489,0.9305904995904996,4.722361998361999,1.0,1.0
2023__q2,2023,Q2,2,6.170431984321975,0,1,moderate,0.4323529411764706,0.915056818181818,4.660227272727273,1.0,0.7432110628342246,0.8972844251336898,4.589137700534759,1.0,1.0
2023__q3,2023,Q3,3,18.65924987964693,0,1,moderate,0.75,0.9484848484848485,4.793939393939394,1.0,0.8819696969696971,0.9527878787878789,4.811151515151515,1.0,1.0
2023__q4,2023,Q4,4,21.33149946731261,1,1,high,0.5647058823529412,0.9403708133971291,4.7614832535885165,1.0,0.8050121376301717,0.9220048550520686,4.688019420208274,1.0,1.0
2023__end_year_annual,2023,End-Year/Annual,5,24.56605663347511,1,1,high,0.7294117647058824,0.9404255319148935,4.761702127659574,1.0,0.8709136420525657,0.9483654568210262,4.793461827284105,1.0,1.0
2024__q1,2024,Q1,1,6.433947080285721,0,1,moderate,0.4852941176470588,0.9242424242424242,4.696969696969697,1.0,0.767602495543672,0.9070409982174688,4.628163992869875,1.0,1.0
2024__q2,2024,Q2,2,3.533471059763007,0,1,low,0.538235294117647,0.9242424242424242,4.696969696969697,1.0,0.7887789661319072,0.9155115864527629,4.662046345811051,1.0,1.0
2024__q3,2024,Q3,3,0.0,0,1,low,0.3779411764705882,0.9242424242424242,4.696969696969697,1.0,0.7246613190730837,0.8898645276292334,4.559458110516934,1.0,1.0
2024__q4,2024,Q4,4,25.53293343199559,1,1,high,0.1926470588235294,0.9242424242424242,4.696969696969697,1.0,0.6505436720142602,0.860217468805704,4.440869875222816,1.0,1.0
2024__end_year_annual,2024,End-Year/Annual,5,20.0,0,1,high,0.1,0.8575757575757575,4.43030303030303,1.0,0.5901515151515151,0.8360606060606061,4.344242424242424,1.0,1.0
