model,n_train,n_test,train_positive,train_negative,test_positive,test_negative,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision
conventional_statistical_baseline,648,155,156,492,45,110,0.8838709677419355,0.8590909090909091,0.8,0.8,0.8,0.7181818181818181,0.9298989898989899,0.865322886387993
standalone_ai_model,648,155,156,492,45,110,0.9096774193548387,0.8772727272727273,0.8780487804878049,0.8,0.8372093023255814,0.7765039202707363,0.9806060606060606,0.9576500155529003
governance_centered_ai_model,648,155,156,492,45,110,0.9225806451612903,0.8994949494949496,0.8837209302325582,0.8444444444444444,0.8636363636363636,0.8100291526203871,0.9804040404040405,0.9553865814766966
majority_dummy_reference,648,155,156,492,45,110,0.7096774193548387,0.5,0.0,0.0,0.0,0.0,0.5,0.2903225806451613
