label_name,class_value,count,percentage
fiscal_anomaly_label,0,12,0.75
fiscal_anomaly_label,1,4,0.25
multi_component_anomaly_label,1,16,1.0
risk_level,moderate,6,0.375
risk_level,low,5,0.3125
risk_level,high,5,0.3125
