metric,group,n,mean,median,std,min,q1,q3,max
panel_traceability_index_0_1,non_anomaly,602,0.06659302896416297,0.0030927835051546,0.1050193908476559,0.0,0.0,0.1228522336769759,0.5926116838487971
panel_traceability_index_0_1,anomaly,201,0.03046537074079771,0.0030927835051546,0.07661358553925185,0.0,0.0,0.0061855670103092,0.5926116838487971
panel_interpretability_index_0_1,non_anomaly,602,0.9403401092403852,0.9872881355932204,0.17525881957304282,0.1991525423728813,0.9661016949152542,1.0,1.0
panel_interpretability_index_0_1,anomaly,201,0.9661438569862552,0.9872881355932204,0.11811473173912224,0.2033898305084746,0.9745762711864407,1.0,1.0
panel_audit_readiness_index_0_1,non_anomaly,602,0.9828073089700996,1.0,0.06951885567415372,0.7,1.0,1.0,1.0
panel_audit_readiness_index_0_1,anomaly,201,0.9925373134328358,1.0,0.04684047235827441,0.7,1.0,1.0,1.0
panel_governance_alignment_index_0_1,non_anomaly,602,0.6472687910626218,0.6485169491525423,0.09458381801412424,0.2797033898305084,0.6396186440677966,0.6919158075601375,0.857414089347079
panel_governance_alignment_index_0_1,anomaly,201,0.6465744237343193,0.6485169491525423,0.06332643951844645,0.2822689149047702,0.6421841691420583,0.6510824742268041,0.857414089347079
panel_risk_signal_completeness_0_1,non_anomaly,602,1.0,1.0,0.0,1.0,1.0,1.0,1.0
panel_risk_signal_completeness_0_1,anomaly,201,1.0,1.0,0.0,1.0,1.0,1.0,1.0
panel_temporal_support_index_0_1,non_anomaly,602,0.8533459895586141,1.0,0.2772439925611961,0.2857142857142857,0.8571428571428571,1.0,1.0
panel_temporal_support_index_0_1,anomaly,201,0.9076048329779672,1.0,0.24030601196967677,0.2857142857142857,1.0,1.0,1.0
panel_decision_usability_index_0_1,non_anomaly,602,0.8325478737395019,0.8769809322033897,0.09348670863099995,0.5336104721549637,0.8304903147699757,0.8921705326460481,0.9500949312714776
panel_decision_usability_index_0_1,anomaly,201,0.8485824982004019,0.8769809322033897,0.07883370036575969,0.5345084059309553,0.8747644591997203,0.8778788659793815,0.9500949312714776
panel_interpretability_score_1_5,non_anomaly,602,4.7613604369615405,4.9491525423728815,0.7010352782921713,1.7966101694915255,4.864406779661017,5.0,5.0
panel_interpretability_score_1_5,anomaly,201,4.864575427945021,4.9491525423728815,0.4724589269564889,1.8135593220338984,4.898305084745763,5.0,5.0
panel_decision_usability_score_1_5,non_anomaly,602,4.330191494958007,4.507923728813559,0.3739468345239998,3.134441888619855,4.321961259079902,4.568682130584192,4.800379725085911
panel_decision_usability_score_1_5,anomaly,201,4.394329992801607,4.507923728813559,0.31533480146303877,3.138033623723821,4.499057836798881,4.511515463917526,4.800379725085911
