observation_id,year,period,period_order,n_long_records,n_unique_labels,n_source_files,n_source_sheets,n_categories,n_indicators,debt_public_debt__value_mean,expenditure_total_expenditure__value_mean,non_oil_revenue_total_revenue__value_mean,oil_revenue_total_revenue__value_mean,other_other__value_mean,other_total_revenue__value_mean,revenue_total_revenue__value_mean,surplus_deficit_surplus_deficit__value_mean,debt_public_debt__value_median,expenditure_total_expenditure__value_median,non_oil_revenue_total_revenue__value_median,oil_revenue_total_revenue__value_median,other_other__value_median,other_total_revenue__value_median,revenue_total_revenue__value_median,surplus_deficit_surplus_deficit__value_median,debt_public_debt__value_sum,expenditure_total_expenditure__value_sum,non_oil_revenue_total_revenue__value_sum,oil_revenue_total_revenue__value_sum,other_other__value_sum,other_total_revenue__value_sum,revenue_total_revenue__value_sum,surplus_deficit_surplus_deficit__value_sum,debt_public_debt__value_count,expenditure_total_expenditure__value_count,non_oil_revenue_total_revenue__value_count,oil_revenue_total_revenue__value_count,other_other__value_count,other_total_revenue__value_count,revenue_total_revenue__value_count,surplus_deficit_surplus_deficit__value_count,debt_public_debt__source_file_count,expenditure_total_expenditure__source_file_count,non_oil_revenue_total_revenue__source_file_count,oil_revenue_total_revenue__source_file_count,other_other__source_file_count,other_total_revenue__source_file_count,revenue_total_revenue__source_file_count,surplus_deficit_surplus_deficit__source_file_count,debt_public_debt__sheet_count,expenditure_total_expenditure__sheet_count,non_oil_revenue_total_revenue__sheet_count,oil_revenue_total_revenue__sheet_count,other_other__sheet_count,other_total_revenue__sheet_count,revenue_total_revenue__sheet_count,surplus_deficit_surplus_deficit__sheet_count,category__debt__category_value_mean,category__expenditure__category_value_mean,category__non_oil_revenue__category_value_mean,category__oil_revenue__category_value_mean,category__other__category_value_mean,category__revenue__category_value_mean,category__surplus_deficit__category_value_mean,category__debt__category_value_sum,category__expenditure__category_value_sum,category__non_oil_revenue__category_value_sum,category__oil_revenue__category_value_sum,category__other__category_value_sum,category__revenue__category_value_sum,category__surplus_deficit__category_value_sum,category__debt__category_value_count,category__expenditure__category_value_count,category__non_oil_revenue__category_value_count,category__oil_revenue__category_value_count,category__other__category_value_count,category__revenue__category_value_count,category__surplus_deficit__category_value_count
2022__domestic_debt,2022,الدين الداخلي Domestic Debt,90,12,6,3,1,1,1,306501.0,,,,,,,,99939.0,,,,,,,,3678012.0,,,,,,,,12.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,306501.0,,,,,,,3678012.0,,,,,,,12.0,,,,,,
2022__external_debt,2022,الدين الخارجي External Debt,90,10,5,3,1,1,1,155455.2,,,,,,,,20817.5,,,,,,,,1554552.0,,,,,,,,10.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,155455.2,,,,,,,1554552.0,,,,,,,10.0,,,,,,
2022__item,2022,Item,90,1,1,1,1,1,1,,,,,,,,2022.0,,,,,,,,2022.0,,,,,,,,2022.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,2022.0,,,,,,,2022.0,,,,,,,1.0
2022__public_debt,2022,Public Debt,90,1,1,1,1,1,1,2022.0,,,,,,,,2022.0,,,,,,,,2022.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,2022.0,,,,,,,2022.0,,,,,,,1.0,,,,,,
2022__total,2022,Total,90,66,31,2,1,1,1,,88546.4999086002,,,,,,,,0.5206139585799063,,,,,,,,5844068.993967613,,,,,,,,66.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,88546.4999086002,,,,,,,5844068.993967613,,,,,,,66.0,,,,,
2022__unknown_feature,2022,الإجمالي,90,54,31,2,3,5,3,,,116332.88726624676,253393.44568138453,0.0,,83324.41271968507,126698.0,,,0.10598796026954166,0.6100000000000001,0.0,,0.27,126698.0,,,697997.3235974805,1520360.6740883072,0.0,,2916354.4451889778,253396.0,,,6.0,6.0,5.0,,35.0,2.0,,,2.0,2.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,,1.0,2.0,,,116332.88726624676,253393.44568138453,0.0,83324.41271968507,126698.0,,,697997.3235974805,1520360.6740883072,0.0,2916354.4451889778,253396.0,,,6.0,6.0,5.0,35.0,2.0
2022__unknown_feature,2022,البيان,90,1,1,1,1,1,1,,,,,,,,1443.0,,,,,,,,1443.0,,,,,,,,1443.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1443.0,,,,,,,1443.0,,,,,,,1.0
2022__unknown_feature,2022,الدين العام,90,1,1,1,1,1,1,1443.0,,,,,,,,1443.0,,,,,,,,1443.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1443.0,,,,,,,1443.0,,,,,,,1.0,,,,,,
2023__q1,2023,Q1,1,74,47,5,4,6,4,,58920.571128666816,102338.764773147,178605.46071,1164.150137306216,,55043.71289375629,484.93744278907735,,19205.0,102338.764773147,178605.46071,0.0,,7188.2436034600005,0.0,,3181710.840948008,102338.764773147,178605.46071,5820.75068653108,,385305.990256294,2909.624656734464,,54.0,1.0,1.0,5.0,,7.0,6.0,,3.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,58920.571128666816,102338.764773147,178605.46071,1164.150137306216,55043.71289375629,484.93744278907735,,3181710.840948008,102338.764773147,178605.46071,5820.75068653108,385305.990256294,2909.624656734464,,54.0,1.0,1.0,5.0,7.0,6.0
2023__q2,2023,Q2,2,96,57,3,3,6,4,,91933.7484152896,165011.33512789034,357283.0936588747,2107.6,,98379.34722590314,-5269.0,,24484.0,135083.12795419604,229023.0,0.0,,18618.0,-5269.0,,5791826.150163245,495034.005383671,1071849.280976624,10538.0,,2065966.291743966,-5269.0,,63.0,3.0,3.0,5.0,,21.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,91933.7484152896,165011.33512789034,357283.0936588747,2107.6,98379.34722590314,-5269.0,,5791826.150163245,495034.005383671,1071849.280976624,10538.0,2065966.291743966,-5269.0,,63.0,3.0,3.0,5.0,21.0,1.0
