feature_name,role,numeric,non_missing_count,missing_count,mean,std,min,max,description
category__expenditure__category_value_sum,category_aggregate_feature,True,31,17,4672568.593704706,3636239.7338746926,0.3775309900601796,12151126.688299276,High-level fiscal category aggregate feature.
category__non_oil_revenue__category_value_sum,category_aggregate_feature,True,24,24,557192.0928174264,434583.1476814072,0.068890430578114,1567187.447199997,High-level fiscal category aggregate feature.
category__oil_revenue__category_value_sum,category_aggregate_feature,True,24,24,950132.3272381095,743502.3890278436,-0.48425280245032665,2503175.6717722174,High-level fiscal category aggregate feature.
category__other__category_value_sum,category_aggregate_feature,True,15,33,406830.00632295577,501535.84053043125,0.0,1395138.7217722123,High-level fiscal category aggregate feature.
category__revenue__category_value_sum,category_aggregate_feature,True,26,22,2416037.4338548863,1858338.3238168969,0.9650713118705314,5733265.462346744,High-level fiscal category aggregate feature.
category__surplus_deficit__category_value_sum,category_aggregate_feature,True,21,27,16814.1467517184,137088.41017907427,-214383.0,329343.8802381896,High-level fiscal category aggregate feature.
category__debt__category_value_count,category_aggregate_feature,True,16,32,7.5,5.354126134736337,1.0,14.0,High-level fiscal category aggregate feature.
category__expenditure__category_value_count,category_aggregate_feature,True,31,17,48.87096774193548,30.00637925006822,2.0,109.0,High-level fiscal category aggregate feature.
category__non_oil_revenue__category_value_count,category_aggregate_feature,True,24,24,3.6666666666666665,2.2968156910907283,1.0,9.0,High-level fiscal category aggregate feature.
category__oil_revenue__category_value_count,category_aggregate_feature,True,24,24,3.6666666666666665,2.2968156910907283,1.0,9.0,High-level fiscal category aggregate feature.
category__other__category_value_count,category_aggregate_feature,True,15,33,5.933333333333334,2.250925735484551,1.0,10.0,High-level fiscal category aggregate feature.
category__revenue__category_value_count,category_aggregate_feature,True,26,22,23.615384615384617,16.407502974132104,2.0,61.0,High-level fiscal category aggregate feature.
category__surplus_deficit__category_value_count,category_aggregate_feature,True,21,27,3.142857142857143,2.286606968539069,1.0,10.0,High-level fiscal category aggregate feature.
