panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related,risk_component_entity_deviation_raw,risk_component_entity_deviation,risk_component_period_deviation_raw,risk_component_period_deviation,risk_component_temporal_change_raw,risk_component_temporal_change,risk_component_rolling_instability_raw,risk_component_rolling_instability,risk_component_source_uncertainty_raw,risk_component_source_uncertainty,panel_fiscal_risk_score_0_100,panel_anomaly_threshold_quantile,panel_anomaly_threshold_value,panel_fiscal_anomaly_label,panel_fiscal_anomaly_label_q60,panel_fiscal_anomaly_label_q70,panel_fiscal_anomaly_label_q80,panel_fiscal_anomaly_label_q90,label_high_entity_deviation,label_high_period_deviation,label_high_temporal_change,label_high_rolling_instability,label_high_source_uncertainty,panel_multi_component_anomaly_label,panel_risk_level,panel_traceability_index_0_1,panel_interpretability_index_0_1,panel_audit_readiness_index_0_1,panel_governance_alignment_index_0_1,panel_risk_signal_completeness_0_1,panel_temporal_support_index_0_1,panel_decision_usability_index_0_1,panel_interpretability_score_1_5,panel_decision_usability_score_1_5
2024__q2__expenditure_total_expenditure_18552_19621866_infrastructure_and_transportation,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_18552_19621866_infrastructure_and_transportation,unspecified,19856.671435580185,21683.880231790004,59570.01430674056,0.1688039505522329,37885.965271,19008.877201833464,3,1,1,3,1,19856.671435580185,0.5723459881960046,,,19856.09908959199,,,34692.475354246926,,,9928.62189078419,14040.382314162527,9928.62189078419,14040.382314162527,0.6745,0.6745,1.0,-0.3524968104195857,1,0,1,0,0,0.6745,9.59789745716047e-07,0.3524968104195857,0.006525798584674476,0.008069300025376253,0.014070709014995967,0.017311568520776525,0.017311568520776525,0.9938144329896907,0.9938144329896907,15.578848968342788,0.75,16.43839004488965,0,1,0,0,0,0,0,0,0,0,0,moderate,0.006185567010309278,0.9745762711864407,1.0,0.6432666433688625,1.0,1.0,0.8751433251791019,4.898305084745763,4.5005733007164075
2023__q2__expenditure_total_expenditure_19021_261638440003_infrastructure_and_transportation,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_19021_261638440003_infrastructure_and_transportation,unspecified,13144.82323630166,9276.370722656293,52579.292945206646,-0.0246600582388326,34026.576159952296,16440.259105299127,4,1,1,4,1,13144.82323630166,,,,,,,,,,13144.82323630166,,13144.82323630166,,0.0,0.0,0.0,-0.3342711975685493,1,0,1,0,0,0.0,0.0,0.3342711975685493,0.006188386514458734,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,14.984592472557217,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2022__end_year_annual__expenditure_total_expenditure_2021_sector,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_2021_sector,unspecified,2022.0,2022.0,2022.0,2022.0,2022.0,,1,1,1,1,1,2022.0,,,,,,,,,,2022.0,,2022.0,,0.0,0.0,0.0,-0.6171081222835396,1,0,1,0,0,0.0,0.0,0.6171081222835396,0.011424566668264208,0.0,0.0,0.0,0.0,1.0,1.0,15.228491333365286,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2023__q2__expenditure_total_expenditure_2022_sector,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_2022_sector,unspecified,2023.0,2023.0,4046.0,2023.0,2023.0,0.0,2,1,1,2,1,2023.0,,,,,,,,,,2023.0,,2023.0,,0.0,0.0,0.0,-0.6337107426015954,1,0,1,0,0,0.0,0.0,0.6337107426015954,0.011731932161995882,0.0,0.0,0.0,0.0,0.9969072164948454,0.9969072164948454,15.1882468906626,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.003092783505154639,0.9533898305084746,1.0,0.6347689149047702,1.0,0.2857142857142857,0.6578834059309553,4.813559322033898,3.631533623723821
2024__q2__expenditure_total_expenditure_2023_sector,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_2023_sector,unspecified,2024.0,2024.0,4048.0,2024.0,2024.0,0.0,2,1,1,2,1,2024.0,,,,,,,,,,2024.0,,2024.0,,0.0,0.0,0.0,-0.6744939811379005,1,0,1,0,0,0.0,0.0,0.6744939811379005,0.012486955164904374,0.0,0.0,0.0,0.0,0.9969072164948454,0.9969072164948454,15.203347350720769,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.003092783505154639,0.9533898305084746,1.0,0.6347689149047702,1.0,0.2857142857142857,0.6578834059309553,4.813559322033898,3.631533623723821
2024__q1__expenditure_total_expenditure_21682_808042535005_public_administration,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_21682_808042535005_public_administration,unspecified,0.6585736664597929,0.6585736664597929,0.6585736664597929,0.6585736664597929,0.6585736664597929,,1,1,1,1,1,0.6585736664597929,,,,,,,,,,0.6585736664597929,,0.6585736664597929,,-0.6745,0.6745,0.0,-0.6744932610443849,1,0,1,0,0,0.6745,9.59789745716047e-07,0.6744932610443849,0.012486941833761776,0.0,0.0,0.0,0.0,1.0,1.0,15.249767630367606,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2024__q2__expenditure_total_expenditure_21682_808042535005_public_administration,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_21682_808042535005_public_administration,unspecified,23581.06791069281,28090.0495368,70743.20373207843,0.2954986956346224,42652.8586965828,21680.831933204703,3,1,1,3,1,23581.06791069281,0.6585736664597929,,,23580.40933702635,,,35805.27211752093,,,11790.863242179636,16673.867345365914,11790.863242179636,16673.867345365914,0.6745,0.6745,1.0,-0.2852469240550129,1,0,1,0,0,0.6745,9.59789745716047e-07,0.2852469240550129,0.005280796643422686,0.009503964407605543,0.016572381402073438,0.020558613761142264,0.020558613761142264,0.9938144329896907,0.9938144329896907,15.652688055864788,0.75,16.43839004488965,0,1,0,0,0,0,0,0,0,0,0,moderate,0.006185567010309278,0.9745762711864407,1.0,0.6432666433688625,1.0,1.0,0.8751433251791019,4.898305084745763,4.5005733007164075
2022__end_year_annual__expenditure_total_expenditure_22115_44479228_infrastructure_and_transportation,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_22115_44479228_infrastructure_and_transportation,unspecified,15264.820949111736,9510.857059681544,61059.28379644694,-0.1399105097320994,42037.70958759359,19974.30338776465,4,1,1,4,1,15264.820949111736,,,,,,,,,,15264.820949111736,,15264.820949111736,,0.0,0.0,0.0,-0.241227627460394,1,0,1,0,0,0.0,0.0,0.241227627460394,0.004465864266946439,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,14.950142027606972,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2023__q2__expenditure_total_expenditure_24993_66024555_municipal_services,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_24993_66024555_municipal_services,unspecified,22440.90174294316,13322.709055378473,89763.60697177265,0.0660701835604096,63118.12279083214,29885.765567652117,4,1,1,4,1,22440.90174294316,,,,,,,,,,22440.90174294316,,22440.90174294316,,0.0,0.0,0.0,-0.0839872774344397,1,0,1,0,0,0.0,0.0,0.0839872774344397,0.0015548624555210334,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,14.891921991378462,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2024__q1__expenditure_total_expenditure_26644_99596582_municipal_services,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_26644_99596582_municipal_services,unspecified,0.7098112359779973,0.7098112359779973,0.7098112359779973,0.7098112359779973,0.7098112359779973,,1,1,1,1,1,0.7098112359779973,,,,,,,,,,0.7098112359779973,,0.7098112359779973,,-0.6745,0.6745,0.0,-0.6744906078567238,1,0,1,0,0,0.6745,9.59789745716047e-07,0.6744906078567238,0.012486892715109431,0.0,0.0,0.0,0.0,1.0,1.0,15.249766647994559,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2024__q2__expenditure_total_expenditure_26644_99596582_municipal_services,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_26644_99596582_municipal_services,unspecified,46289.559709776746,57649.47659208,138868.67912933024,1.16361363559718,81218.03892361463,41783.14244355969,3,1,1,3,1,46289.559709776746,0.7098112359779973,,,46288.84989854077,,,65212.90105356352,,,23145.13476050636,32731.15965658441,23145.13476050636,32731.15965658441,0.6745000000000001,0.6745000000000001,1.0,0.1247909178353421,1,0,1,0,0,0.6745000000000001,9.59789745716047e-07,0.1247909178353421,0.0023102631596034896,0.018582319686937108,0.0324026138966535,0.040357000292497745,0.040357000292497745,0.9938144329896907,0.9938144329896907,16.206857834050336,0.75,16.43839004488965,0,1,1,0,0,0,0,1,1,0,1,high,0.006185567010309278,0.9745762711864407,1.0,0.6432666433688625,1.0,1.0,0.8751433251791019,4.898305084745763,4.5005733007164075
2022__end_year_annual__expenditure_total_expenditure_27141_530719700004_economic_resources,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_27141_530719700004_economic_resources,unspecified,20828.348914289367,14860.9911787293,83313.39565715747,0.0950534835460641,53591.31824621533,25949.38782833512,4,1,1,4,1,20828.348914289367,,,,,,,,,,20828.348914289367,,20828.348914289367,,0.0,0.0,0.0,-0.0833140188305314,1,0,1,0,0,0.0,0.0,0.0833140188305314,0.001542398370982864,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,14.891672709687697,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2023__q2__expenditure_total_expenditure_29721_427763380005_economic_resources,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_29721_427763380005_economic_resources,unspecified,27277.360435985436,18669.234584736954,109109.44174394172,0.2562636367070618,71770.7163108311,34491.257737760905,4,1,1,4,1,27277.360435985436,,,,,,,,,,27277.360435985436,,27277.360435985436,,0.0,0.0,0.0,0.0462276126825584,1,0,1,0,0,0.0,0.0,0.0462276126825584,0.0008558150896674262,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,14.87794104406139,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2024__q1__expenditure_total_expenditure_37337_94893015_economic_resources,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_37337_94893015_economic_resources,unspecified,0.4866399589830015,0.4866399589830015,0.4866399589830015,0.4866399589830015,0.4866399589830015,,1,1,1,1,1,0.4866399589830015,,,,,,,,,,0.4866399589830015,,0.4866399589830015,,-0.6745,0.6745,0.0,-0.674502164128499,1,0,1,0,0,0.6745,9.59789745716047e-07,0.674502164128499,0.012487106657192779,0.0,0.0,0.0,0.0,1.0,1.0,15.249770926836225,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2024__q2__expenditure_total_expenditure_37337_94893015_economic_resources,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_37337_94893015_economic_resources,unspecified,41457.762732464405,40712.59319931,124373.28819739322,0.0903810832103582,83660.604617,41835.23477619512,3,1,1,3,1,41457.762732464405,0.4866399589830015,,,41457.276092505424,,,85190.85892400699,,,20729.124686211693,29314.72105453352,20729.124686211693,29314.72105453352,0.6745000000000001,0.6745000000000001,1.0,0.0375451587352412,1,0,1,0,0,0.6745000000000001,9.59789745716047e-07,0.0375451587352412,0.0006950762006730544,0.017034262121010762,0.02970321401313053,0.03614458572763425,0.03614458572763425,0.9938144329896907,0.9938144329896907,16.057379878728316,0.75,16.43839004488965,0,1,1,0,0,0,0,1,0,0,0,high,0.006185567010309278,0.9745762711864407,1.0,0.6432666433688625,1.0,1.0,0.8751433251791019,4.898305084745763,4.5005733007164075
2022__end_year_annual__expenditure_total_expenditure_45689_32698948_security_and_regional_administration,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_45689_32698948_security_and_regional_administration,unspecified,37720.42891997278,24800.732327321817,150881.71567989112,0.0856140412355079,101280.16541120624,48396.3000886037,4,1,1,4,1,37720.42891997278,,,,,,,,,,37720.42891997278,,37720.42891997278,,0.0,0.0,0.0,0.3961460158197393,1,0,1,0,0,0.0,0.0,0.3961460158197393,0.007333879436479712,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.007502330997635,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2022__end_year_annual__expenditure_total_expenditure_464923_3188843924,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_464923_3188843924,unspecified,366981.4361506757,256462.82067801533,1467925.7446027026,0.1032466719296227,955000.0,460585.0137471204,4,1,1,4,1,366981.4361506757,,,,,,,,,,366981.4361506757,,366981.4361506757,,0.0,0.0,0.0,9.741797580499796,1,0,1,0,0,0.0,0.0,9.741797580499796,0.1803505932077464,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,18.46783660642297,0.75,16.43839004488965,1,1,1,1,0,0,1,0,0,0,0,high,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2023__q2__expenditure_total_expenditure_49600_97491437995_security_and_regional_administration,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_49600_97491437995_security_and_regional_administration,unspecified,39970.74972447557,27241.28020808294,159882.9988979023,0.0984067068126308,105400.3400750296,50619.10515187992,4,1,1,4,1,39970.74972447557,,,,,,,,,,39970.74972447557,,39970.74972447557,,0.0,0.0,0.0,0.3879793770035981,1,0,1,0,0,0.0,0.0,0.3879793770035981,0.007182689869786939,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.00447853966378,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,low,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2023__q2__expenditure_total_expenditure_512925_1042616806,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_512925_1042616806,unspecified,429486.6478870663,301973.2070469994,1717946.5915482652,0.1774543046038268,1113999.9999999618,537869.7157600428,4,1,1,4,1,429486.6478870663,,,,,,,,,,429486.6478870663,,429486.6478870663,,0.0,0.0,0.0,10.87515048652481,1,0,1,0,0,0.0,0.0,10.87515048652481,0.2013324363661882,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,18.887473469591807,0.75,16.43839004488965,1,1,1,1,0,0,1,0,0,0,0,high,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2024__q1__expenditure_total_expenditure_54482_0435104_security_and_regional_administration,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_54482_0435104_security_and_regional_administration,unspecified,0.5344758686164305,0.5344758686164305,0.5344758686164305,0.5344758686164305,0.5344758686164305,,1,1,1,1,1,0.5344758686164305,,,,,,,,,,0.5344758686164305,,0.5344758686164305,,-0.6745,0.6745,0.0,-0.6744996870858445,1,0,1,0,0,0.6745,9.59789745716047e-07,0.6744996870858445,0.0124870607995255,0.0,0.0,0.0,0.0,1.0,1.0,15.24977000968288,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2024__q2__expenditure_total_expenditure_54482_0435104_security_and_regional_administration,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_54482_0435104_security_and_regional_administration,unspecified,57379.74605177634,59958.072327620095,172139.23815532902,0.1005107089306367,112181.065317,56134.909290085336,3,1,1,3,1,57379.74605177634,0.5344758686164305,,,57379.21157590772,,,107356.03784029064,,,28690.14026382248,40573.229604462,28690.14026382248,40573.229604462,0.6744999999999999,0.6744999999999999,1.0,0.3250418245916793,1,0,1,0,0,0.6744999999999999,9.597897457160468e-07,0.3250418245916793,0.006017522474474375,0.023422117397713944,0.04084193144162348,0.05002614805569403,0.05002614805569403,0.9938144329896907,0.9938144329896907,16.5948265876951,0.75,16.43839004488965,1,1,1,0,0,0,0,1,1,0,1,high,0.006185567010309278,0.9745762711864407,1.0,0.6432666433688625,1.0,1.0,0.8751433251791019,4.898305084745763,4.5005733007164075
2024__q1__expenditure_total_expenditure_603945_8719522825,2024,Q1,1,2024__q1,Expenditure,total_expenditure,expenditure_total_expenditure_603945_8719522825,unspecified,0.5393706082157749,0.5393706082157749,0.5393706082157749,0.5393706082157749,0.5393706082157749,,1,1,1,1,1,0.5393706082157749,,,,,,,,,,0.5393706082157749,,0.5393706082157749,,-0.6745,0.6745,0.0,-0.6744994336260722,1,0,1,0,0,0.6745,9.59789745716047e-07,0.6744994336260722,0.012487056107206665,0.0,0.0,0.0,0.0,1.0,1.0,15.249769915836502,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2024__q2__expenditure_total_expenditure_603945_8719522825,2024,Q2,2,2024__q2,Expenditure,total_expenditure,expenditure_total_expenditure_603945_8719522825,unspecified,641917.5827059017,674752.63087777,1925752.748117705,0.1172402399185235,1250999.9999996952,626145.9749590182,3,1,1,3,1,641917.5827059017,0.5393706082157749,,,641917.0433352935,,,1190122.4011051322,,,320959.06103825493,453903.89430160495,320959.06103825493,453903.89430160495,0.6745000000000001,0.6745000000000001,1.0,10.87979971716926,1,0,1,0,0,0.6745000000000001,9.59789745716047e-07,10.87979971716926,0.2014185079046037,0.26187035345186377,0.4566321157334227,0.5596562965470956,0.5596562965470956,0.9938144329896907,0.9938144329896907,36.4631022095047,0.75,16.43839004488965,1,1,1,1,1,0,1,1,1,0,1,high,0.006185567010309278,0.9745762711864407,1.0,0.6432666433688625,1.0,1.0,0.8751433251791019,4.898305084745763,4.5005733007164075
2022__end_year_annual__expenditure_total_expenditure_64009_11379564_general_items,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_64009_11379564_general_items,unspecified,62730.65428118606,34459.72272073082,250922.61712474425,0.0767070919267194,182003.09497619068,85896.1085644789,4,1,1,4,1,62730.65428118606,,,,,,,,,,62730.65428118606,,62730.65428118606,,0.0,0.0,0.0,1.1060291986050357,1,0,1,0,0,0.0,0.0,1.1060291986050357,0.020475997414767955,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.2703446905634,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2023__q2__expenditure_total_expenditure_68919_06677171_general_items,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_68919_06677171_general_items,unspecified,67092.334670529,51616.71415125561,268369.338682116,0.4978845187232739,165135.4124950861,81488.63033805674,4,1,1,4,1,67092.334670529,,,,,,,,,,67092.334670529,,67092.334670529,,0.0,0.0,0.0,1.1181901422955232,1,0,1,0,0,0.0,0.0,1.1181901422955232,0.02070113383239745,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.274847418915991,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2022__end_year_annual__expenditure_total_expenditure_91109_64849529987_education,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_91109_64849529987_education,unspecified,70861.03943695269,49170.7182024604,283444.1577478108,0.0793687249523096,185102.64197416505,89160.4808701794,4,1,1,4,1,70861.03943695269,,,,,,,,,,70861.03943695269,,70861.03943695269,,0.0,0.0,0.0,1.3367997577778756,1,0,1,0,0,0.0,0.0,1.3367997577778756,0.024748269230907432,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.35579012688619,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2022__end_year_annual__expenditure_total_expenditure_91839_55159809522_health_social_development,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_91839_55159809522_health_social_development,unspecified,59442.8252306391,49767.57748406984,237771.3009225564,0.0837861597079794,138236.06216825702,70433.2183388396,4,1,1,4,1,59442.8252306391,,,,,,,,,,59442.8252306391,,59442.8252306391,,0.0,0.0,0.0,1.0127083861314363,1,0,1,0,0,0.0,0.0,1.0127083861314363,0.018748342559576536,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.235791593459572,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2022__end_year_annual__expenditure_total_expenditure_93904_6678946448_military,2022,End-Year/Annual,5,2022__end_year_annual,Expenditure,total_expenditure,expenditure_total_expenditure_93904_6678946448_military,unspecified,69005.09453837932,52560.2474475013,276020.37815351726,0.119431889331063,170899.76382662533,84083.50237749184,4,1,1,4,1,69005.09453837932,,,,,,,,,,69005.09453837932,,69005.09453837932,,0.0,0.0,0.0,1.284121141226238,1,0,1,0,0,0.0,0.0,1.284121141226238,0.023773026246648687,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.336285267201017,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2023__q2__expenditure_total_expenditure_98340_90512722493_education,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_98340_90512722493_education,unspecified,72957.63860048605,51409.97661505333,291830.5544019442,0.0455406029610077,189010.55563123457,91297.23058351022,4,1,1,4,1,72957.63860048605,,,,,,,,,,72957.63860048605,,72957.63860048605,,0.0,0.0,0.0,1.2761052523409964,1,0,1,0,0,0.0,0.0,1.2761052523409964,0.02362462752417528,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.333317292751547,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2023__q2__expenditure_total_expenditure_99534_43493580243_health_social_development,2023,Q2,2,2023__q2,Expenditure,total_expenditure,expenditure_total_expenditure_99534_43493580243_health_social_development,unspecified,79322.2861883663,63972.95867551645,317289.1447534652,0.2854369615975309,189342.94196547067,94960.7536140101,4,1,1,4,1,79322.2861883663,,,,,,,,,,79322.2861883663,,79322.2861883663,,0.0,0.0,0.0,1.4474644924150435,1,0,1,0,0,0.0,0.0,1.4474644924150435,0.02679701335375207,0.0,0.0,0.0,0.0,0.9907216494845361,0.9907216494845361,15.396765009343083,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,0,0,moderate,0.009278350515463918,0.9533898305084746,1.0,0.6369338633583785,1.0,0.2857142857142857,0.6586411378897182,4.813559322033898,3.634564551558873
2022__q1__expenditure_total_expenditure_compensation_of_employees,2022,Q1,1,2022__q1,Expenditure,total_expenditure,expenditure_total_expenditure_compensation_of_employees,unspecified,125172.7,125172.7,125172.7,125172.7,125172.7,,1,1,1,1,1,125172.7,,,,,,,,,,125172.7,,125172.7,,-0.6976948463974968,0.6976948463974968,0.0022161674158015,6.227864901363824,1,0,1,0,0,0.6976948463974968,9.927951952724239e-07,6.227864901363824,0.11529690697197217,0.0,0.0,0.0,0.0,1.0,1.0,17.305967923295302,0.75,16.43839004488965,1,1,1,1,0,0,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2022__q2__expenditure_total_expenditure_compensation_of_employees,2022,Q2,2,2022__q2,Expenditure,total_expenditure,expenditure_total_expenditure_compensation_of_employees,unspecified,125915.64,125915.64,125915.64,125915.64,125915.64,,1,1,1,1,1,125915.64,125172.7,,,742.9400000000023,,,0.0059353197622165,,,125544.17,525.3379120147353,125544.17,525.3379120147353,-0.6513051536025032,0.6513051536025032,0.0040147870852889,3.515134240047358,1,0,1,0,0,0.6513051536025032,9.2678429615967e-07,3.515134240047358,0.0650759308185992,0.00028294756358549633,0.0004933851537547645,0.0006477333064663929,0.0006477333064663929,1.0,1.0,16.32113012257296,0.75,16.43839004488965,0,1,1,0,0,0,1,0,0,1,1,high,0.0,0.9703389830508474,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.881355932203389,4.495466101694915
