year,period,period_order,category,n_records,n_labels,n_indicators,n_source_files,value_mean,value_median,value_std,value_min,value_max
2022,Item,90,Surplus/Deficit,1,1,1,1,2022.0,2022.0,,2022.0,2022.0
2022,الإجمالي,90,Surplus/Deficit,2,2,1,2,126698.0,126698.0,32304.88040528861,103855.0,149541.0
2022,البيان,90,Surplus/Deficit,1,1,1,1,1443.0,1443.0,,1443.0,1443.0
2023,Q1,1,Expenditure,54,32,1,3,58920.571128666816,19205.0,123837.23313298008,-0.0230402369008403,800651.2088205081
2023,Q1,1,Non-oil revenue,1,1,1,1,102338.764773147,102338.764773147,,102338.764773147,102338.764773147
2023,Q1,1,Oil revenue,1,1,1,1,178605.46071,178605.46071,,178605.46071,178605.46071
2023,Q1,1,Other,5,5,1,1,1164.150137306216,0.0,1594.0782263133772,0.0,2910.37534326554
2023,Q1,1,Revenue,7,7,1,1,55043.71289375629,7188.2436034600005,101904.86743130896,2023.0,280944.225483147
2023,Q1,1,Surplus/Deficit,6,6,1,2,484.93744278907735,0.0,2190.6847650072855,-2910.375343265536,2910.0
2023,Q2,2,Expenditure,63,34,1,2,91933.7484152896,24484.0,188652.74620243168,0.6693866886937496,1164308.8432161128
2023,Q2,2,Non-oil revenue,3,2,1,1,165011.33512789034,135083.12795419604,110221.15989085674,72845.0,287105.877429475
2023,Q2,2,Oil revenue,3,2,1,1,357283.0936588747,229023.0,265977.4830060518,179739.739495987,663086.5414806369
2023,Q2,2,Other,5,5,1,1,2107.6,0.0,2885.95015549472,0.0,5269.0
2023,Q2,2,Revenue,21,15,1,1,98379.34722590314,18618.0,215820.09780838704,3.0,950192.418910112
2023,Q2,2,Surplus/Deficit,1,1,1,1,-5269.0,-5269.0,,-5269.0,-5269.0
2023,Q3,3,Debt,12,6,1,1,269357.25,69394.5,326651.33381276607,0.0,990084.0
2023,Q3,3,Expenditure,109,32,1,3,111478.22649815849,28208.66137683,220590.8632149836,-0.51,1164308.8432161123
2023,Q3,3,Non-oil revenue,9,3,1,3,174131.93857777744,111533.34581111991,154965.87742805775,0.2154235282911638,410891.0
2023,Q3,3,Oil revenue,9,3,1,3,278130.630196913,147006.0,285482.9878947444,-0.36,857272.0
2023,Q3,3,Other,10,7,1,2,58170.39944381859,25141.7115064465,124297.94125011307,0.0,407743.1484124
2023,Q3,3,Revenue,59,21,1,3,95654.74935201126,16445.690097489998,228221.23433897513,-0.14,1268164.0
2023,Q3,3,Surplus/Deficit,2,1,1,2,-39861.5,-39861.5,5783.426363324772,-43951.0,-35772.0
2023,Q4,4,Debt,12,6,1,1,279317.836054485,94616.258163455,326033.22331612406,0.0,990084.0
2023,Q4,4,Expenditure,78,31,1,2,148351.15399449418,37789.20368825,284804.65623160684,-0.6746294998329101,1293236.091841193
2023,Q4,4,Non-oil revenue,6,2,1,2,188833.50254700924,108772.59600847703,213889.7368659265,-0.1212818388030089,457728.0
2023,Q4,4,Oil revenue,6,2,1,2,334591.0020749592,249211.041478688,343869.95365091285,-0.12,754562.0
2023,Q4,4,Other,9,6,1,2,72361.2148025566,36995.289134095,122145.25998441117,0.0,390027.8257496781
2023,Q4,4,Revenue,39,15,1,2,109682.03381817356,6559.566488010001,276289.70185923803,-0.2313220769483362,1212290.0
2023,Q4,4,Surplus/Deficit,2,1,1,2,-58970.8901500178,-58970.8901500178,31078.192998018054,-80946.49116594065,-36995.28913409496
2023,End-Year/Annual,5,Debt,12,6,1,1,279317.836054485,94616.258163455,326033.22331612406,0.0,990084.0
2023,End-Year/Annual,5,Expenditure,42,31,1,3,198565.66737052207,13848.14299359,383765.9227038197,-0.6746294998329101,1293236.091841193
2023,End-Year/Annual,5,Non-oil revenue,3,2,1,1,152575.94108836705,0.11,264269.2917480719,-0.1212818388030089,457727.83454694
2023,End-Year/Annual,5,Oil revenue,3,2,1,1,251520.64316412644,0.2833640672853514,435646.39163528295,-0.12,754561.766128312
2023,End-Year/Annual,5,Other,9,7,2,2,66468.18267654603,20946.49116594061,125046.30611975871,0.0,390027.8257496781
2023,End-Year/Annual,5,Revenue,21,13,1,3,248790.40250441604,0.3140763351945135,472663.702453713,-0.2313220769483362,1212290.0
2023,End-Year/Annual,5,Surplus/Deficit,4,2,1,3,-32473.245582970383,-32473.24558297044,55972.082771645444,-80946.49116594065,16000.0
2023,Public Debt,90,Debt,1,1,1,1,2023.0,2023.0,,2023.0,2023.0
2023,الدين الخارجي External Debt,90,Debt,8,5,1,2,165048.0,69191.5,164412.3268275744,0.0,375128.0
2023,الدين الداخلي Domestic Debt,90,Debt,12,6,1,3,304874.544758485,62443.5,359091.8096888764,0.0,990084.0
2023,الدين العام,90,Debt,1,1,1,1,1444.0,1444.0,,1444.0,1444.0
2023,Column_2,90,Expenditure,51,41,1,2,87531.39250708972,0.9028656923023984,222211.79908090542,-0.0501761410312323,1113999.9999999618
2023,Column_3,90,Expenditure,55,43,1,2,76317.44424302764,27116.11274896,128084.08677649293,1.0,603945.8719522825
2023,Column_4,90,Expenditure,51,40,1,2,40269.301925958396,1701.83684198,93185.4191568268,0.1653080965691445,512925.1042616825
2023,Column_6,90,Expenditure,20,20,1,2,0.23998178769413353,0.24155916858013232,0.16737373411631157,-0.0246600582388326,0.5367859702823119
2023,Total,90,Expenditure,39,22,1,1,103296.56995074554,2023.0,231598.51829384317,-0.51,1113999.9999999618
2023,Column_2,90,Non-oil revenue,3,1,1,2,0.10649713437517572,0.1080995590316649,0.020035548157922405,0.0857084918368307,0.1256833522570315
2023,Column_3,90,Non-oil revenue,3,1,1,2,158281.2618182287,135083.12795419604,70466.14737271088,102338.764773147,237421.89272734305
2023,Column_4,90,Non-oil revenue,3,1,1,2,142840.44196229603,120001.0,63176.440549951185,94259.89162156,214260.43426532808
2023,الإجمالي,90,Non-oil revenue,3,2,1,1,116318.66132066376,0.53,201469.1857201357,0.2154235282911638,348955.23853846296
2023,Column_2,90,Oil revenue,3,1,1,2,-0.16141760081677556,-0.174440133004752,0.1276790488466259,-0.2820863243278306,-0.027726345117744
2023,Column_3,90,Oil revenue,3,1,1,2,238896.8001373247,179739.739495987,103446.90356078086,178605.46071,358345.200205987
2023,Column_4,90,Oil revenue,3,1,1,2,289375.335782604,250364.0,129661.12917750626,183698.755811325,434063.25153648696
2023,الإجمالي,90,Oil revenue,3,2,1,1,168450.04225614402,-0.2378811919162123,291764.5495050728,-0.36,505350.724649624
2023,Column_2,90,Other,6,1,1,3,222470.77800788125,230017.0742062,206750.17714474615,14511.0,415050.07257003
2023,Column_3,90,Other,1,1,1,1,3.0,3.0,,3.0,3.0
2023,الإجمالي,90,Other,7,5,1,2,14894.392955218724,8179.375343265539,20183.67563767295,0.0,43951.0
2023,Column_2,90,Revenue,18,7,1,2,0.16540149634249687,0.06532851346381245,0.25881335558429097,-0.1499659323905254,0.7480921831941154
2023,Column_3,90,Revenue,21,9,1,2,79447.80815815934,22623.86164669,146815.47086422238,1.0,595767.0929333301
2023,Column_4,90,Revenue,21,9,1,2,82247.26948198039,19847.0,161253.69500987956,1.0,648323.685801815
2023,الإجمالي,90,Revenue,18,12,1,1,66848.0966827149,0.5249999999999999,202402.56911509132,-0.14,854305.963188087
2023,الإجمالي,90,Surplus/Deficit,2,1,1,2,-26065.187671632768,-26065.187671632768,25294.358368836845,-43951.0,-8179.375343265536
2024,Q1,1,Expenditure,74,43,1,3,65864.2965959829,10069.06699242,140237.48358320654,-0.0699967884700731,898257.1652199326
2024,Q1,1,Non-oil revenue,5,1,1,2,192943.24408966658,140602.063598188,104689.0126187071,111511.754451187,348955.23853846296
2024,Q1,1,Oil revenue,5,1,1,2,288435.79968597705,212989.76535168703,154457.94924649954,147005.524443637,505350.724649624
2024,Q1,1,Revenue,43,17,1,2,94745.18421658981,25340.736933747008,173631.05909085364,1.0,854305.963188087
2024,Q1,1,Surplus/Deficit,5,4,1,2,0.0795587047967274,0.0,12386.900551698845,-12386.801103238016,12387.0
2024,Q2,2,Expenditure,87,47,1,3,109464.40629439743,39208.94035948,203877.60999621224,0.6543950406197077,1293236.0918411925
2024,Q2,2,Non-oil revenue,8,2,1,3,167062.85423017506,129472.12062467149,164250.09953944557,0.0408568331928369,457727.83454694
2024,Q2,2,Oil revenue,8,2,1,3,275799.51456295856,212989.76535168703,265448.6653697023,0.1020417587323779,754561.766128312
2024,Q2,2,Revenue,61,24,1,3,93987.95839912695,22149.12895097,211204.5922860137,-0.2295956846864508,1212289.600675252
2024,Q2,2,Surplus/Deficit,4,4,1,1,3835.3407357887627,7670.5,14687.731309627565,-15340.63705684495,15341.0
2024,Q3,3,Expenditure,72,32,1,2,126896.13837094784,32395.2718467,237788.31227546444,0.8796335380114008,1293236.091841193
2024,Q3,3,Non-oil revenue,6,2,1,2,145195.24339878387,118342.177651155,185162.34964150202,0.06,502471.489871712
2024,Q3,3,Oil revenue,6,2,1,2,218200.50539904556,180856.28527966148,278876.0535809998,0.16,756623.945227635
2024,Q3,3,Revenue,39,16,1,2,78348.67344273436,5363.731950040001,214603.6492029311,-0.2674975709162637,1259095.4350993468
2024,Q3,3,Surplus/Deficit,4,4,1,1,7558.75490934377,15117.5,28947.80005694273,-30234.98036262492,30235.0
2024,Q4,4,Expenditure,41,31,1,1,169391.0878446068,53895.41510436999,303231.7276276351,4.0,1374720.24877316
2024,Q4,4,Non-oil revenue,3,2,1,1,44005.268535413816,0.2136834001911065,76219.09119339772,0.0977516592781808,132015.49417118198
2024,Q4,4,Oil revenue,3,2,1,1,56948.73353141753,0.0027329493646413,98638.36985853587,-0.3144504701795751,170846.5123117734
2024,Q4,4,Revenue,19,13,1,1,22994.849420644405,0.2062659502915536,70350.15999225732,-0.3852660336560648,302862.0064829554
2024,Q4,4,Surplus/Deficit,3,3,1,1,19220.534949631645,57662.0,66582.57058462128,-57662.39515110507,57662.0
2024,End-Year/Annual,5,Expenditure,2,1,1,2,1312860.0,1312860.0,87483.25096839966,1251000.0,1374720.0
2024,End-Year/Annual,5,Revenue,2,1,1,2,1215547.5,1215547.5,61585.46510744236,1172000.0,1259095.0
2024,End-Year/Annual,5,Surplus/Deficit,2,1,1,2,-97312.5,-97312.5,25897.7858609573,-115625.0,-79000.0
2024,Public Debt,90,Debt,1,1,1,1,2024.0,2024.0,,2024.0,2024.0
2024,الدين الخارجي External Debt,90,Debt,10,5,1,3,238241.97316319,241531.12499983498,221214.1338180313,0.0,477666.01195747
2024,الدين الداخلي Domestic Debt,90,Debt,14,6,1,3,435745.7712004964,406043.150391615,385176.7113037544,0.0,1050282.38170035
2024,الدين العام,90,Debt,1,1,1,1,1445.0,1445.0,,1445.0,1445.0
2024,Column_2,90,Expenditure,21,21,1,1,106288.09334036814,2023.0,244191.1388602542,0.0710518323815646,1113999.9999999618
2024,Column_3,90,Expenditure,23,22,1,1,49542.01753502827,19204.805957670003,79816.31434189282,1.0,283854.60082641256
2024,Column_4,90,Expenditure,21,21,1,1,21093.33383189282,1.0,53375.14041484602,0.1653080965691445,220467.21839989
2024,Column_6,90,Expenditure,20,20,1,1,0.262021903552185,0.1747719362607269,0.26737923418841125,-0.0628589283462862,1.16361363559718
2024,Total,90,Expenditure,105,43,1,3,106089.90886344698,0.6822730537961108,252629.16829107076,-0.4950981681269988,1374720.24877316
2024,Revenues*,90,Non-oil revenue,2,1,1,1,186252.4463636715,186252.4463636715,72364.52502662693,135083.0,237421.89272734305
2024,Total,90,Non-oil revenue,2,2,1,2,436463.742786121,436463.742786121,93349.0511501359,370455.99570053,502471.489871712
2024,Revenues*,90,Oil revenue,2,1,1,1,269042.60010299354,269042.60010299354,126292.94822083435,179740.0,358345.200205987
2024,Total,90,Oil revenue,2,2,1,2,671200.6890717484,671200.6890717484,120806.72739772548,585777.4329158621,756623.9452276349
2024,Column_2,90,Other,6,2,1,3,232523.12029536872,245724.69002790298,174970.4551998792,43017.07843735023,393918.26327905606
2024,Revenues*,90,Revenue,15,8,1,1,85674.73237737821,23868.62560204,162575.73920217325,1.0,595767.0929333301
2024,Total,90,Revenue,20,20,1,3,231721.02763863647,66857.5525413325,343602.32265502587,11491.63074415,1259095.4350993468
2024,Total,90,Surplus/Deficit,10,4,1,3,20131.332964339595,27727.0,73363.54366502912,-115624.81367381311,115625.0
