year,period,period_order,category,normalized_indicator,n_records,n_labels,n_source_files,n_source_sheets,value_mean,value_median,value_std,value_min,value_max
2023,Q1,1,Other,other,5,4,2,2,90669.85428823461,2910.37534326554,181949.36759471343,0.0,415050.07257003
2023,Q1,1,Revenue,total_revenue,29,15,2,1,39477.784479659655,4120.3888697,85202.72138345813,0.0107410871287352,280944.225483147
2023,Q1,1,Surplus/Deficit,surplus_deficit,6,6,2,2,484.93744278907735,0.0,2190.6847650072855,-2910.375343265536,2910.0
2023,Q2,2,Debt,domestic_debt,5,4,1,2,132030.0,14017.0,274929.3725186525,0.0,623536.0
2023,Q2,2,Debt,external_debt,5,4,1,2,101715.2750686531,60000.0,150395.97882302836,5269.0,365623.0
2023,Q2,2,Expenditure,total_expenditure,165,47,3,1,76925.12917117686,13776.67832394,168433.74864902798,-0.0501761410312323,1164308.8432161128
2023,Q2,2,Non-oil revenue,non_oil_revenue,9,2,2,1,133533.41045704996,135083.12795419604,100266.80984973155,0.1080995590316649,287105.877429475
2023,Q2,2,Oil revenue,oil_revenue,9,2,2,1,254929.00174318082,229023.0,209568.96296421054,-0.2820863243278306,663086.5414806369
2023,Q2,2,Other,other,8,4,1,2,59447.49986003069,2634.5,142691.62955094047,0.0,409840.62353698
2023,Q2,2,Revenue,total_revenue,59,15,2,1,79695.1888094915,16680.38199858,177185.8125751518,-0.1499659323905254,950192.418910112
2023,Q2,2,Surplus/Deficit,surplus_deficit,2,1,1,1,-6724.187671632768,-6724.187671632768,2057.946141021186,-8179.375343265536,-5269.0
2023,Q3,3,Debt,domestic_debt,10,7,2,2,311208.8,69284.0,364551.6157762391,0.0,990084.0
2023,Q3,3,Debt,external_debt,7,5,2,2,141990.0604304133,60000.0,156443.25156479076,35772.423012893,375128.0
2023,Q3,3,Debt,public_debt,2,1,1,1,1733.5,1733.5,409.414826307011,1444.0,2023.0
2023,Q3,3,Expenditure,total_expenditure,148,32,3,1,109322.24943498886,19350.825449305,222775.892180453,-0.51,1164308.8432161123
2023,Q3,3,Non-oil revenue,non_oil_revenue,12,3,3,1,159678.61926349901,111533.34581111991,159776.94529820155,0.2154235282911638,410891.0
2023,Q3,3,Oil revenue,oil_revenue,12,3,3,1,250710.4832117208,147005.7622218185,277869.2492226426,-0.36,857272.0
2023,Q3,3,Other,other,11,5,2,3,88017.15634888118,14511.0,159014.43882099164,0.0,407743.1484124
2023,Q3,3,Revenue,total_revenue,77,21,3,1,88920.72665009783,8210.0,221502.24956829508,-0.14,1268164.0
2023,Q3,3,Surplus/Deficit,surplus_deficit,3,1,2,1,-41224.666666666664,-43951.0,4722.14785170195,-43951.0,-35772.0
2023,Q4,4,Debt,domestic_debt,7,7,2,2,345272.50340282294,87982.51632691,398080.7128446939,0.0,990084.0
2023,Q4,4,Debt,external_debt,6,5,2,2,171405.83333333334,85690.5,172165.55251898293,16049.0,405877.0
2023,Q4,4,Debt,public_debt,2,1,1,1,1733.5,1733.5,409.414826307011,1444.0,2023.0
