panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,panel_fiscal_risk_score_0_100,panel_fiscal_anomaly_label,panel_multi_component_anomaly_label,panel_risk_level,panel_traceability_index_0_1,panel_interpretability_index_0_1,panel_interpretability_score_1_5,panel_audit_readiness_index_0_1,panel_governance_alignment_index_0_1,panel_risk_signal_completeness_0_1,panel_temporal_support_index_0_1,panel_decision_usability_index_0_1,panel_decision_usability_score_1_5
2023__q1__debt_domestic_debt_end_of_period_balance,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,27.723648458659543,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__q2__debt_domestic_debt_end_of_period_balance,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,21.139394940104385,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__q3__debt_domestic_debt_end_of_period_balance,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,17.06469862466118,1,0,high,0.1197594501718213,1.0,5.0,1.0,0.6919158075601375,1.0,1.0,0.8921705326460481,4.568682130584192
2023__q4__debt_domestic_debt_end_of_period_balance,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,17.691566658812587,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__end_year_annual__debt_domestic_debt_end_of_period_balance,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,17.157342435523102,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q2__debt_domestic_debt_end_of_period_balance,2024,Q2,2,2024__q2,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,20.19448180269518,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q3__debt_domestic_debt_end_of_period_balance,2024,Q3,3,2024__q3,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,18.789548635774274,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q4__debt_domestic_debt_end_of_period_balance,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,18.416570333759967,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2022__q1__debt_domestic_debt_financing_from_domestic_borrowing,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.249762845055914,0,0,moderate,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2022__q2__debt_domestic_debt_financing_from_domestic_borrowing,2022,Q2,2,2022__q2,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,15.249799805442454,0,0,moderate,0.0,0.9661016949152542,4.864406779661017,1.0,0.638135593220339,1.0,0.8571428571428571,0.8304903147699757,4.321961259079902
