risk_score_quantile_threshold,threshold_value,positive_count,negative_count,positive_rate
0.6,16.001060090526163,7,9,0.4375
0.65,17.994702432366736,6,10,0.375
0.7,19.329624939823464,5,11,0.3125
0.75,20.332874866828153,4,12,0.25
0.8,21.33149946731261,4,12,0.25
0.85,22.092018050498492,3,13,0.1875
0.9,23.455790439184447,2,14,0.125
