url,source_page,link_text,local_path,file_name,extension,year_guess,period_guess,file_type_guess,size_bytes,sha256,download_status
https://www.mof.gov.sa/en/financialreport/2025/Documents/Q1E%202025-%20Final.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__End-Year_Annual__8d3c1f0d01__Q1E_2025-_Final.pdf,2025__End-Year_Annual__8d3c1f0d01__Q1E_2025-_Final.pdf,.pdf,2025.0,End-Year/Annual,other_financial_file,4285514,1446764e43f04d4da32cced3afacfafab5a4327a222c621a8bc392705975df36,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/infoE%20Q1-2025%20En%20Final.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__End-Year_Annual__949af29cad__infoE_Q1-2025_En_Final.pdf,2025__End-Year_Annual__949af29cad__infoE_Q1-2025_En_Final.pdf,.pdf,2025.0,End-Year/Annual,other_financial_file,1780895,65f623abe6b0f78357092d3dc2fa3e6b8077d367ab6dd6974339025b6ee14056,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/Q2E%202025-%20Final.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__End-Year_Annual__6b697dac3a__Q2E_2025-_Final.pdf,2025__End-Year_Annual__6b697dac3a__Q2E_2025-_Final.pdf,.pdf,2025.0,End-Year/Annual,other_financial_file,4272623,adef4a834a16fa6e2f674d8b4df4ae47ffb8512e5b6f15a6a87e00172a1d0808,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/info%20En%20Q2-2025%20Final.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__End-Year_Annual__a95afc7d84__info_En_Q2-2025_Final.pdf,2025__End-Year_Annual__a95afc7d84__info_En_Q2-2025_Final.pdf,.pdf,2025.0,End-Year/Annual,other_financial_file,1782092,72f183649e2280f4817c951ff148986f8176758524eafe03dc0e0a93490b414b,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/Mid-Bud-E2025.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__94c0df8a3f__Mid-Bud-E2025.pdf,2025__94c0df8a3f__Mid-Bud-E2025.pdf,.pdf,2025.0,,other_financial_file,5338309,836532ab97baeb3c157bbd48bfb451831ce6346666095f769ccdc20fbcb9e7e1,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/Q3%202025%20-%20En.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__Q3__afa9220d9b__Q3_2025_-_En.pdf,2025__Q3__afa9220d9b__Q3_2025_-_En.pdf,.pdf,2025.0,Q3,other_financial_file,1527763,70caf97876cf082fd7bcba9c84be4cf254dfd6bb035536fe8d4bd3b88562c977,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/info%20EN%20-%20Q3%20-%202025.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__57ddb5efeb__info_EN_-_Q3_-_2025.pdf,2025__57ddb5efeb__info_EN_-_Q3_-_2025.pdf,.pdf,2025.0,,other_financial_file,580282,017d86b374ab8413056919a507ee3e72edec4a1942e0856b16b6bb603c9be8f0,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/Q4%202025-%20En.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__Q4__47b49b60e2__Q4_2025-_En.pdf,2025__Q4__47b49b60e2__Q4_2025-_En.pdf,.pdf,2025.0,Q4,other_financial_file,5052026,ace5f2c160f8e1b8d622feae788b416a9ff87be39d09a131ff77f6d56c821993,downloaded
https://www.mof.gov.sa/en/financialreport/2025/Documents/info%20EN%20-%20Q4.pdf,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2025__b9bbe8b4ab__info_EN_-_Q4.pdf,2025__b9bbe8b4ab__info_EN_-_Q4.pdf,.pdf,2025.0,,other_financial_file,1869578,b37be360e502e518f0da3783bbe2467ece68471e8515d1c5c52322dbe31ba895,downloaded
https://www.mof.gov.sa/en/financialreport/2026/Documents/Q1%20Eng%202026%20V12%20FINAL.pdf,https://www.mof.gov.sa/en/financialreport/2026/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2026__Q1__1eb49d31ea__Q1_Eng_2026_V12_FINAL.pdf,2026__Q1__1eb49d31ea__Q1_Eng_2026_V12_FINAL.pdf,.pdf,2026.0,Q1,other_financial_file,5131842,a54d09f96269986306285d88fde79b2f672f1f2f4af5361c9eec8a699b9ea9fe,downloaded
